what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535922077
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535924041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535926002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535926217
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535928551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535929958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535930159
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535932222
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535933482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535933700
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535935698
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535937018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535937267
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535939351
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535942793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535943185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535943617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535944010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535944283
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1317535944385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535954045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317535954461
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535957619
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535960246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535960448
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535962310
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535991754
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535992667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535992871
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317535995220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535996228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317535996441
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536012269
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536015980
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536031094
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536033844
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536042439
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1317536047471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1317536047790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1317536054555
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1317536055009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317536057717
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536062643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536064345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536064621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317536070560
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536074327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536076479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536076749
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536076954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536077184
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536078033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536079113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536101931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317536102809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536107494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536112760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317536113585
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536117645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536123866
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536128455
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536128987
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536131567
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536133687
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536138356
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536138435
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536140186
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536140271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1317536144669
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536145768
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1317536148140
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317536149479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536156582
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536156663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536162959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536163022
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536191250
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536199865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536201652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536201844
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317536204664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536207529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536241515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317536245751
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1317536249777
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1317536249855
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1317536249903
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536250905
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536257472
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317536257808
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536259732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536260593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536261016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536265039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536348495
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536349042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536352898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536353094
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536356567
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317536359689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536371021
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536375262
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1317536376893
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536402886
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536403014
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536416752
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536416788
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317536429662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536441749
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536469399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536479275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536555232
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536555769
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536561153
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536561246
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536561806
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317536565074
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317536565097
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317536585426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536588224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536588441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536588530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536591119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536597873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317536598014
